S No.,Date & Time,GBP/USD,EUR/USD,I(0),10 Candle Avg,Std Dev,z-Score,Signal,Buy price,Sell Price,MTM,Status,Profit/Loss,Cumulative
1,17-04-17,1.2841,1.073,-0.17959962,-0.16033598,0.004383321,-4.394758713,Buy,1.073,1.2841,,Buy,0,0
2,15-05-17,1.2917,1.1083,-0.15313187,-0.167855266,0.004370953,3.368463234,Sell,,,277,TP,277,277
3,16-05-17,1.297,1.1159,-0.150392651,-0.166294982,0.006356162,2.501876172,Sell,1.297,1.1159,,Sell,0,277
4,25-05-17,1.2804,1.1183,-0.135362854,-0.151603311,0.006913041,2.349249323,Sell,1.2804,1.1183,,Sell,0,219
5,07-06-17,1.2956,1.1214,-0.144396004,-0.138002045,0.003082195,-2.074482024,Buy,1.2804,1.1183,121,Sell,0,219
6,08-06-17,1.2746,1.1195,-0.129750247,-0.138074485,0.003234978,2.573197761,Sell,,,-70,SL,-70,149
7,09-06-17,1.2659,1.1203,-0.122186825,-0.137513224,0.004122777,3.717494179,Sell,1.2659,1.1203,,Sell,0,149
8,26-06-17,1.2814,1.1339,-0.122290212,-0.129531632,0.003043672,2.379172694,Sell,1.2659,1.1203,19,Sell,0,149
9,06-07-17,1.289,1.1401,-0.122750746,-0.128319603,0.002497904,2.229412042,Sell,1.2659,1.1203,33,Sell,0,149
10,10-07-17,1.2848,1.1467,-0.113714812,-0.127142807,0.003485694,3.852316236,Sell,,,-75,SL,-75,74
11,19-07-17,1.2973,1.1631,-0.109196327,-0.123943025,0.005199338,2.836264568,Sell,1.2973,1.1631,,Sell,0,74
12,20-07-17,1.2997,1.1663,-0.108297124,-0.122153935,0.006822094,2.031166899,Sell,1.2973,1.1631,-8,Sell,0,74
13,02-08-17,1.3138,1.187,-0.101494586,-0.110840594,0.001581833,5.908339524,Sell,,,-74,SL,-74,2.24532E-12
14,03-08-17,1.304,1.1773,-0.102212782,-0.11007042,0.00335381,2.342899195,Sell,1.304,1.1773,,Sell,0,2.24532E-12
15,04-08-17,1.3035,1.1795,-0.099962335,-0.109461986,0.004165044,2.280804631,Sell,1.304,1.1773,-27,Sell,0,2.24532E-12
16,18-08-17,1.29,1.1815,-0.087857401,-0.095706352,0.003895106,2.015080224,Sell,1.29,1.1815,,Sell,0,-62
17,22-08-17,1.28,1.1807,-0.080752595,-0.093109266,0.004436933,2.784957615,Sell,,,-92,SL,-92,-154
18,24-08-17,1.2882,1.1924,-0.077277812,-0.089526094,0.005379845,2.276697666,Sell,1.2882,1.1924,,Sell,0,-154
19,04-09-17,1.3033,1.1914,-0.089770423,-0.081623071,0.004064066,-2.004729323,Buy,1.2882,1.1924,161,Sell,0,-154
20,08-09-17,1.3163,1.1953,-0.096427571,-0.084848518,0.005532314,-2.092985511,Buy,1.1953,1.3163,,Buy,0,52
21,11-09-17,1.3283,1.1967,-0.104332161,-0.086828569,0.005799757,-3.017987035,Buy,,,-106,SL,-106,-54
22,12-09-17,1.3211,1.1885,-0.105772715,-0.089656675,0.006773926,-2.379128515,Buy,1.1885,1.3211,,Buy,0,-54
23,13-09-17,1.3399,1.1919,-0.117046312,-0.0918369,0.008116065,-3.106112685,Buy,,,-154,SL,-154,-208
24,14-09-17,1.3594,1.1945,-0.129315738,-0.09532435,0.010610854,-3.203454602,Buy,1.1945,1.3594,,Buy,0,-208
25,04-10-17,1.3119,1.1711,-0.11353299,-0.126146981,0.004802772,2.626398173,Sell,,,241,TP,241,33
26,05-10-17,1.3066,1.173,-0.107863774,-0.124638253,0.006126741,2.737912371,Sell,1.3066,1.173,,Sell,0,33
27,18-10-17,1.3159,1.1852,-0.104609305,-0.113000812,0.002882386,2.911305461,Sell,1.3066,1.173,-29,Sell,0,33
28,25-10-17,1.3161,1.1651,-0.121865898,-0.113500275,0.003682983,-2.271425436,Buy,1.3066,1.173,174,Sell,0,33
29,30-10-17,1.3283,1.1646,-0.131522249,-0.115793296,0.006266371,-2.510057596,Buy,1.1646,1.3283,,Buy,0,254
30,13-11-17,1.3165,1.1798,-0.109631767,-0.123412112,0.005871149,2.347128929,Sell,1.3165,1.1798,,Sell,0,490
31,28-11-17,1.3409,1.1847,-0.123851452,-0.115875793,0.003807988,-2.094454854,Buy,1.3165,1.1798,195,Sell,0,490
32,29-11-17,1.3525,1.1904,-0.127665347,-0.117192846,0.004079557,-2.567068043,Buy,,,254,TP,254,744
33,06-12-17,1.3474,1.1773,-0.134953128,-0.121817611,0.006507573,-2.018497205,Buy,1.1773,1.3474,,Buy,0,744
34,19-12-17,1.3376,1.1871,-0.119363605,-0.12752812,0.00345648,2.362089176,Sell,1.1773,1.3474,196,Buy,0,744
35,03-01-18,1.3551,1.2068,-0.115903024,-0.118900604,0.001039363,2.884054203,Sell,1.3551,1.2068,,Sell,0,945
36,05-01-18,1.3568,1.1967,-0.125561217,-0.11865159,0.001492466,-4.629670739,Buy,1.3551,1.2068,118,Sell,0,945
37,08-01-18,1.354,1.1937,-0.126005447,-0.119300314,0.002654205,-2.526230808,Buy,1.3551,1.2068,120,Sell,0,945
38,19-01-18,1.3987,1.2262,-0.131623277,-0.122430764,0.004201574,-2.187873988,Buy,,,242,TP,242,1187
39,23-01-18,1.4242,1.2408,-0.13785392,-0.123390362,0.005396781,-2.680034205,Buy,1.2408,1.4242,,Buy,0,1187
40,02-02-18,1.3959,1.2367,-0.121092827,-0.131067076,0.003452824,2.888721672,Sell,,,242,TP,242,1429
